date,month_year,category,product,market,forecast_demand,actual_demand,stock_available,stock_cover_weeks,reorder_point,lead_time_days,stockout_risk,overstock_risk,unit_cost_usd
2023-07-01,Jul 2023,High Jewellery,Trinity Collection,China,3,3,2,2.0,1,55,Medium,Low,140246.83
2023-07-31,Jul 2023,High Jewellery,Trinity Collection,China,4,3,4,4.0,1,60,Low,Low,111709.39
2023-08-30,Aug 2023,High Jewellery,Trinity Collection,China,15,16,13,3.2,4,82,Low,Low,104244.14
2023-09-29,Sep 2023,High Jewellery,Trinity Collection,China,7,8,6,3.0,2,90,Low,Low,102107.55
2023-10-29,Oct 2023,High Jewellery,Trinity Collection,China,3,3,3,3.0,0,77,Low,Low,52293.08
2023-11-28,Nov 2023,High Jewellery,Trinity Collection,China,2,2,1,1.0,0,58,Medium,Low,139299.38
2023-12-28,Dec 2023,High Jewellery,Trinity Collection,China,6,7,5,2.9,1,59,Low,Low,141662.57
2024-01-27,Jan 2024,High Jewellery,Trinity Collection,China,9,7,10,5.7,2,82,Low,Low,147862.84
2024-02-26,Feb 2024,High Jewellery,Trinity Collection,China,8,8,10,5.0,1,65,Low,Medium,85255.31
2024-03-27,Mar 2024,High Jewellery,Trinity Collection,China,5,4,5,5.0,1,89,Low,Low,136956.28
2024-04-26,Apr 2024,High Jewellery,Trinity Collection,China,9,10,6,2.4,2,69,Medium,Low,123600.01
2024-05-26,May 2024,High Jewellery,Trinity Collection,China,5,5,5,4.0,1,19,Low,Low,106182.45
2024-06-25,Jun 2024,High Jewellery,Trinity Collection,China,8,9,10,4.4,3,101,Low,Medium,57299.69
2024-07-25,Jul 2024,High Jewellery,Trinity Collection,China,11,9,10,4.4,4,83,Low,Low,66959.59
2024-08-24,Aug 2024,High Jewellery,Trinity Collection,China,14,12,15,5.0,4,44,Low,Low,2605.6
2024-09-23,Sep 2024,High Jewellery,Trinity Collection,China,12,11,9,3.3,3,59,Medium,Low,8529.22
2024-10-23,Oct 2024,High Jewellery,Trinity Collection,China,8,8,6,3.0,2,66,Medium,Low,9426.33
2024-11-22,Nov 2024,High Jewellery,Trinity Collection,China,13,12,14,4.7,3,84,Low,Low,11592.35
2023-07-01,Jul 2023,High Jewellery,Trinity Collection,Japan,5,5,6,4.8,1,68,Low,Low,53951.51
2023-07-31,Jul 2023,High Jewellery,Trinity Collection,Japan,5,5,6,4.8,1,101,Low,Low,143005.2
2023-08-30,Aug 2023,High Jewellery,Trinity Collection,Japan,6,4,5,5.0,1,33,Low,Low,34918.25
2023-09-29,Sep 2023,High Jewellery,Trinity Collection,Japan,15,18,16,3.6,4,53,Low,Low,41923.96
2023-10-29,Oct 2023,High Jewellery,Trinity Collection,Japan,8,6,10,6.7,2,113,Low,Medium,101408.97
2023-11-28,Nov 2023,High Jewellery,Trinity Collection,Japan,13,12,12,4.0,3,62,Low,Low,65765.65
2023-12-28,Dec 2023,High Jewellery,Trinity Collection,Japan,2,2,2,2.0,0,96,Low,Low,56832.95
2024-01-27,Jan 2024,High Jewellery,Trinity Collection,Japan,12,14,12,3.4,2,103,Low,Low,145153.94
2024-02-26,Feb 2024,High Jewellery,Trinity Collection,Japan,15,13,15,4.6,3,86,Low,Low,126734.78
2024-03-27,Mar 2024,High Jewellery,Trinity Collection,Japan,2,1,2,2.0,0,113,Low,Low,85628.43
2024-04-26,Apr 2024,High Jewellery,Trinity Collection,Japan,8,6,8,5.3,2,114,Low,Low,41890.5
2024-05-26,May 2024,High Jewellery,Trinity Collection,Japan,3,3,2,2.0,0,24,Medium,Low,16455.55
2024-06-25,Jun 2024,High Jewellery,Trinity Collection,Japan,12,11,11,4.0,4,100,Low,Low,21348.26
2024-07-25,Jul 2024,High Jewellery,Trinity Collection,Japan,7,8,9,4.5,2,114,Low,Medium,38525.28
2024-08-24,Aug 2024,High Jewellery,Trinity Collection,Japan,11,10,9,3.6,3,76,Low,Low,80800.66
2024-09-23,Sep 2024,High Jewellery,Trinity Collection,Japan,14,13,17,5.2,4,108,Low,Medium,132485.45
2024-10-23,Oct 2024,High Jewellery,Trinity Collection,Japan,10,9,9,4.0,3,84,Low,Low,59813.88
2024-11-22,Nov 2024,High Jewellery,Trinity Collection,Japan,14,11,16,5.8,4,85,Low,Low,87001.56
2023-07-01,Jul 2023,High Jewellery,Trinity Collection,South Korea,5,4,6,6.0,2,20,Low,Low,137060.52
2023-07-31,Jul 2023,High Jewellery,Trinity Collection,South Korea,12,12,9,3.0,4,95,Medium,Low,8824.53
2023-08-30,Aug 2023,High Jewellery,Trinity Collection,South Korea,9,10,11,4.4,2,80,Low,Medium,130891.66
2023-09-29,Sep 2023,High Jewellery,Trinity Collection,South Korea,3,2,2,2.0,0,90,Medium,Low,99185.76
2023-10-29,Oct 2023,High Jewellery,Trinity Collection,South Korea,7,5,8,6.4,2,66,Low,Low,137928.58
2023-11-28,Nov 2023,High Jewellery,Trinity Collection,South Korea,8,8,7,3.5,2,114,Low,Low,48084.81
2023-12-28,Dec 2023,High Jewellery,Trinity Collection,South Korea,9,9,11,4.9,2,68,Low,Medium,65883.6
2024-01-27,Jan 2024,High Jewellery,Trinity Collection,South Korea,15,13,13,4.0,3,50,Low,Low,138528.8
2024-02-26,Feb 2024,High Jewellery,Trinity Collection,South Korea,19,22,16,2.9,4,62,Low,Low,65212.56
2024-03-27,Mar 2024,High Jewellery,Trinity Collection,South Korea,6,5,5,4.0,1,34,Low,Low,82977.06
2024-04-26,Apr 2024,High Jewellery,Trinity Collection,South Korea,5,5,6,4.8,1,39,Low,Low,14375.3
2024-05-26,May 2024,High Jewellery,Trinity Collection,South Korea,7,7,6,3.4,2,69,Low,Low,18381.88
2024-06-25,Jun 2024,High Jewellery,Trinity Collection,South Korea,2,2,2,2.0,0,52,Low,Low,47047.49
2024-07-25,Jul 2024,High Jewellery,Trinity Collection,South Korea,12,13,10,3.1,4,93,Low,Low,133499.53
2024-08-24,Aug 2024,High Jewellery,Trinity Collection,South Korea,13,13,17,5.2,3,66,Low,Medium,84298.43
