campaign,market,media_type,budget_usd,actual_usd,variance_usd,variance_pct,impressions,conversions,revenue_attributed,roi,cpm,status,quarter
Clash Campaign APAC,China,CRM,1067536.11,1056993.77,-10542.34,-1.0,6190781,220250,1621873904.54,153342.1,170.74,Active,Q2 2024
Clash Campaign APAC,China,PR,485822.47,543258.44,57435.98,11.8,4702652,6953,95608469.74,17499.1,115.52,Planned,Q1 2024
Tank Must Relaunch,China,CRM,1549741.13,1413606.47,-136134.66,-8.8,5904986,156239,982906380.33,69431.8,239.39,Active,Q4 2023
Tank Must Relaunch,China,Print,1906226.48,1896309.24,-9917.24,-0.5,4811865,84915,830918208.46,43717.7,394.09,Planned,Q4 2023
High Jewellery Launch,China,CRM,2271967.13,2442307.04,170339.92,7.5,2206027,79082,616612596.97,25147.1,1107.11,Active,Q3 2024
High Jewellery Launch,China,PR,2063261.29,2183223.02,119961.73,5.8,7305426,89925,1132375101.88,51767.1,298.85,Active,Q3 2024
High Jewellery Launch,China,Influencer,1845626.07,2184694.68,339068.61,18.4,2937127,63389,696069751.87,31761.2,743.82,Completed,Q2 2024
High Jewellery Launch,China,Digital,1735272.4,2047762.29,312489.9,18.0,3826578,22559,81320526.61,3871.2,535.14,Completed,Q4 2023
CNY Campaign 2024,China,Influencer,2276856.82,2289845.3,12988.48,0.6,1853377,13761,164009907.72,7062.5,1235.5,Completed,Q4 2023
CNY Campaign 2024,China,OOH,1930400.65,1912061.79,-18338.86,-1.0,2737820,33704,378078458.72,19673.3,698.39,Planned,Q3 2024
CNY Campaign 2024,China,PR,363820.42,423667.97,59847.55,16.4,6496473,176300,2141299105.07,505319.2,65.22,Active,Q3 2024
Santos Digital Push,China,Influencer,2235968.32,1860386.76,-375581.57,-16.8,284160,2226,4945677.0,165.8,6546.97,Active,Q2 2024
Santos Digital Push,China,Print,992628.99,943536.86,-49092.13,-4.9,7189961,289535,2548222100.04,269971.3,131.23,Active,Q2 2024
Santos Digital Push,China,Digital,1407613.85,1465681.76,58067.9,4.1,1854212,12986,56274771.27,3739.5,790.46,Active,Q2 2024
Santos Digital Push,China,OOH,584989.74,570387.76,-14601.99,-2.5,4367575,159846,2365564972.5,414629.3,130.6,Planned,Q4 2023
Influencer Partnership Q2,Japan,CRM,2111125.17,2250246.04,139120.87,6.6,56074,334,1371135.88,-39.1,40129.94,Planned,Q4 2023
Influencer Partnership Q2,Japan,OOH,1615132.3,1371715.75,-243416.55,-15.1,5179549,22953,137466476.79,9921.5,264.83,Active,Q4 2023
Tank Must Relaunch,Japan,Digital,2197788.26,1903460.36,-294327.9,-13.4,712580,11878,139719500.67,7240.3,2671.22,Completed,Q4 2023
Tank Must Relaunch,Japan,Print,2102434.66,1902168.41,-200266.26,-9.5,3016687,35317,165327272.21,8591.5,630.55,Planned,Q1 2024
Holiday Season 2023,Japan,Print,1183484.72,1312447.43,128962.71,10.9,3447478,54699,491817802.86,37373.3,380.7,Completed,Q4 2023
Holiday Season 2023,Japan,PR,544882.16,577606.13,32723.97,6.0,7436056,216046,242415831.68,41869.1,77.68,Active,Q2 2024
Panthère APAC Tour,Japan,CRM,207667.71,224741.05,17073.34,8.2,5113356,130355,275463480.25,122469.3,43.95,Completed,Q3 2024
Panthère APAC Tour,Japan,Print,772505.77,638130.09,-134375.68,-17.4,1217200,25822,103264195.6,16082.3,524.26,Completed,Q4 2023
High Jewellery Launch,Japan,Events,1143848.72,1126949.42,-16899.3,-1.5,1632902,41408,523638336.16,46365.1,690.15,Planned,Q2 2024
High Jewellery Launch,Japan,PR,987488.12,887819.42,-99668.7,-10.1,1433794,56403,693751491.63,78041.1,619.21,Active,Q2 2024
High Jewellery Launch,Japan,Print,1752691.53,1507635.71,-245055.82,-14.0,2645400,31335,357274554.91,23597.7,569.91,Active,Q3 2024
High Jewellery Launch,Japan,OOH,610273.5,646090.8,35817.3,5.9,7302713,281464,3666927200.85,567456.0,88.47,Completed,Q3 2024
Clash Campaign APAC,Japan,Print,1108091.35,1305407.21,197315.86,17.8,1174309,31758,39267905.01,2908.1,1111.64,Active,Q3 2024
Clash Campaign APAC,Japan,OOH,1839814.35,2162598.81,322784.46,17.5,2409611,102124,815788044.35,37622.6,897.49,Completed,Q1 2024
Influencer Partnership Q2,South Korea,PR,653006.53,741944.22,88937.69,13.6,2506330,56385,314171129.07,42244.3,296.03,Planned,Q4 2023
Influencer Partnership Q2,South Korea,Print,2012761.94,1780839.39,-231922.54,-11.5,2610078,40936,385663384.97,21556.3,682.29,Planned,Q2 2024
Influencer Partnership Q2,South Korea,Events,508482.13,579183.6,70701.48,13.9,2901010,46915,234123819.52,40323.1,199.65,Planned,Q3 2024
Influencer Partnership Q2,South Korea,Influencer,420876.88,348709.84,-72167.05,-17.1,995943,14151,130189610.42,37234.7,350.13,Active,Q1 2024
Panthère APAC Tour,South Korea,CRM,1141531.8,1082958.95,-58572.85,-5.1,2396843,41603,367577773.83,33842.0,451.83,Planned,Q1 2024
Panthère APAC Tour,South Korea,Events,1817183.32,1810049.41,-7133.91,-0.4,5250481,131478,822734827.23,45353.7,344.74,Completed,Q4 2023
High Jewellery Launch,South Korea,CRM,1437969.73,1639979.09,202009.36,14.0,7821110,327674,4147555396.69,252802.9,209.69,Completed,Q2 2024
High Jewellery Launch,South Korea,OOH,1653167.81,1843766.94,190599.13,11.5,7954816,76323,423774468.33,22884.2,231.78,Planned,Q2 2024
High Jewellery Launch,South Korea,Influencer,2172571.32,2102382.05,-70189.27,-3.2,5864926,59062,753980656.17,35763.2,358.47,Active,Q2 2024
VIP Client Events,South Korea,OOH,437389.42,422019.65,-15369.77,-3.5,6084702,231047,2831519732.44,670845.0,69.36,Completed,Q2 2024
VIP Client Events,South Korea,Print,2499542.18,2787579.06,288036.88,11.5,1031237,3867,22370550.83,702.5,2703.14,Active,Q2 2024
Holiday Season 2023,South Korea,Print,1057577.51,1244393.68,186816.17,17.7,7031896,181260,598935175.01,48030.7,176.96,Active,Q1 2024
Holiday Season 2023,South Korea,PR,882493.51,928080.74,45587.24,5.2,2662763,28470,223082434.55,23937.0,348.54,Planned,Q4 2023
Holiday Season 2023,South Korea,OOH,221295.69,263944.65,42648.96,19.3,1987602,30292,318494746.52,120567.2,132.8,Planned,Q2 2024
Clash Campaign APAC,South Korea,Influencer,2286822.85,2711241.14,424418.29,18.6,6622129,245808,2076325763.0,76482.1,409.42,Completed,Q3 2024
Clash Campaign APAC,South Korea,CRM,1111386.06,1232120.16,120734.1,10.9,4109327,42608,290941461.7,23513.1,299.84,Active,Q2 2024
Clash Campaign APAC,South Korea,PR,1699623.47,1531088.96,-168534.51,-9.9,1095782,21850,255533065.54,16589.6,1397.26,Completed,Q2 2024
Clash Campaign APAC,South Korea,Digital,2336673.71,2309286.82,-27386.9,-1.2,4525598,136190,1469782901.92,63546.6,510.27,Planned,Q3 2024
CNY Campaign 2024,South Korea,Influencer,1229459.9,1058761.31,-170698.59,-13.9,1914221,35353,249036919.82,23421.5,553.1,Completed,Q1 2024
CNY Campaign 2024,South Korea,CRM,1747850.22,1740568.31,-7281.91,-0.4,7968442,270446,1574747507.63,90373.2,218.43,Active,Q4 2023
CNY Campaign 2024,South Korea,Events,1559096.28,1343218.55,-215877.73,-13.8,7878516,230309,3444223035.01,256315.7,170.49,Planned,Q3 2024
VIP Client Events,Australia,CRM,293405.88,346834.31,53428.43,18.2,781074,11773,135934930.68,39093.0,444.05,Planned,Q3 2024
VIP Client Events,Australia,PR,814831.08,677445.77,-137385.31,-16.9,3295053,111816,288215135.54,42444.4,205.59,Planned,Q1 2024
VIP Client Events,Australia,OOH,1013291.76,1111860.26,98568.5,9.7,6634717,9490,40678948.0,3558.6,167.58,Active,Q2 2024
VIP Client Events,Australia,Influencer,465964.38,509716.82,43752.44,9.4,6255081,39943,216482851.21,42371.2,81.49,Completed,Q2 2024
Holiday Season 2023,Australia,Events,1027493.41,924444.07,-103049.33,-10.0,7557989,28120,198275659.76,21348.1,122.31,Completed,Q4 2023
Holiday Season 2023,Australia,Print,242408.91,263756.34,21347.43,8.8,4337994,59524,319205812.3,120923.0,60.8,Active,Q3 2024
Clash Campaign APAC,Australia,Digital,1632042.44,1849145.83,217103.39,13.3,6885658,211529,2864829002.88,154827.2,268.55,Active,Q4 2023
Clash Campaign APAC,Australia,CRM,1198749.68,1122513.53,-76236.14,-6.4,5487938,220067,2984441794.97,265771.3,204.54,Planned,Q3 2024
Clash Campaign APAC,Australia,Events,2176151.16,2220915.71,44764.55,2.1,864462,16131,58863419.43,2550.4,2569.13,Completed,Q3 2024
Panthère APAC Tour,Australia,CRM,532289.75,507276.02,-25013.74,-4.7,6212242,102751,1085309160.6,213848.4,81.66,Active,Q4 2023
Panthère APAC Tour,Australia,OOH,2193163.79,2195983.6,2819.81,0.1,539529,4974,67992503.94,2996.2,4070.19,Active,Q1 2024
Panthère APAC Tour,Australia,Events,1168384.86,1420058.11,251673.25,21.5,3637667,71943,1014113814.95,71313.5,390.38,Planned,Q3 2024
Sustainability Initiative,Australia,PR,1793999.27,1777162.43,-16836.84,-0.9,446387,8712,83210071.13,4582.2,3981.21,Active,Q3 2024
Sustainability Initiative,Australia,Print,2155809.44,2401786.15,245976.71,11.4,1190389,21381,314017744.3,12974.3,2017.65,Active,Q3 2024
CNY Campaign 2024,Australia,Influencer,686229.19,612290.97,-73938.22,-10.8,2331887,3768,43280493.59,6968.6,262.57,Active,Q2 2024
CNY Campaign 2024,Australia,CRM,1443571.53,1484214.55,40643.01,2.8,4368432,166553,886163483.25,59605.9,339.76,Active,Q1 2024
Santos Digital Push,Australia,Digital,1402825.29,1535475.58,132650.28,9.5,114843,4671,36122838.12,2252.6,13370.21,Active,Q2 2024
Santos Digital Push,Australia,CRM,1351348.76,1406159.6,54810.83,4.1,5019552,52620,547955004.86,38868.2,280.14,Planned,Q2 2024
Love Day Collection,Singapore,PR,56682.51,65698.71,9016.21,15.9,670819,14406,85585507.6,130169.7,97.94,Active,Q1 2024
Love Day Collection,Singapore,OOH,301238.16,250869.38,-50368.79,-16.7,4411435,88077,620186517.67,247114.9,56.87,Active,Q2 2024
Love Day Collection,Singapore,Digital,359044.54,313254.5,-45790.04,-12.8,5058850,179274,993148816.34,316942.2,61.92,Planned,Q2 2024
Love Day Collection,Singapore,Events,461735.41,398450.72,-63284.7,-13.7,6727296,298890,1952525018.14,489929.2,59.23,Active,Q3 2024
Love Day Collection,Singapore,Influencer,1994390.69,1699559.87,-294830.83,-14.8,4154000,40876,152403055.19,8867.2,409.14,Planned,Q4 2023
Clash Campaign APAC,Singapore,PR,849082.29,938471.27,89388.99,10.5,6703018,226083,2352261401.63,250548.2,140.01,Active,Q2 2024
Clash Campaign APAC,Singapore,OOH,1969377.36,1886372.6,-83004.76,-4.2,5224510,62013,482729333.42,25490.3,361.06,Planned,Q3 2024
Clash Campaign APAC,Singapore,Digital,203393.01,236860.65,33467.65,16.5,7416430,49035,343714430.83,145012.5,31.94,Active,Q3 2024
Clash Campaign APAC,Singapore,Influencer,320113.72,289958.76,-30154.96,-9.4,970328,20428,152331231.03,52435.5,298.83,Active,Q3 2024
Sustainability Initiative,Singapore,Events,277854.4,309870.42,32016.02,11.5,7977728,76504,193178005.72,62241.5,38.84,Active,Q1 2024
Sustainability Initiative,Singapore,OOH,510182.23,476153.2,-34029.03,-6.7,153811,4983,26003993.26,5361.3,3095.7,Planned,Q4 2023
Sustainability Initiative,Singapore,PR,2121612.74,2555443.36,433830.62,20.4,3749192,57488,292132073.42,11331.8,681.6,Planned,Q3 2024
VIP Client Events,Singapore,Influencer,398904.4,409320.91,10416.51,2.6,7506227,289894,2242522527.86,547764.1,54.53,Planned,Q2 2024
VIP Client Events,Singapore,Print,309044.02,269127.36,-39916.66,-12.9,2817576,115074,925594338.52,343824.3,95.52,Active,Q4 2023
VIP Client Events,Singapore,CRM,734763.73,614258.34,-120505.39,-16.4,6584666,108382,422118939.49,68620.1,93.29,Completed,Q3 2024
VIP Client Events,Singapore,PR,212405.28,200539.68,-11865.6,-5.6,5631256,99598,155889802.86,77635.1,35.61,Planned,Q4 2023
VIP Client Events,Singapore,Events,841880.63,831145.95,-10734.69,-1.3,4769908,197804,2095577184.44,252031.1,174.25,Completed,Q4 2023
Santos Digital Push,Singapore,Print,609757.72,521166.92,-88590.8,-14.5,2897628,97788,968605386.46,185753.2,179.86,Planned,Q2 2024
Santos Digital Push,Singapore,Events,695872.95,801987.52,106114.57,15.2,264004,5188,61357457.99,7550.7,3037.79,Completed,Q4 2023
Santos Digital Push,Singapore,Influencer,1082874.09,1053611.91,-29262.18,-2.7,3588369,124283,1774671217.74,168336.9,293.62,Completed,Q4 2023
Santos Digital Push,Singapore,Digital,2054084.32,2203435.32,149351.0,7.3,7323006,83465,786053078.25,35574.0,300.89,Completed,Q4 2023
Panthère APAC Tour,Singapore,CRM,812913.89,697466.76,-115447.12,-14.2,7283793,242957,3616150478.39,518369.2,95.76,Planned,Q3 2024
Panthère APAC Tour,Singapore,Influencer,547283.39,551469.05,4185.66,0.8,1073440,36466,423705858.0,76732.2,513.74,Planned,Q2 2024
Panthère APAC Tour,Singapore,Events,2466314.83,2076606.9,-389707.93,-15.8,152697,1616,22338000.86,975.7,13599.53,Active,Q1 2024
Panthère APAC Tour,Singapore,PR,1574561.19,1445768.53,-128792.66,-8.2,6232918,213371,725698148.18,50094.6,231.96,Planned,Q1 2024
Panthère APAC Tour,Singapore,OOH,2302797.09,2335615.12,32818.04,1.4,5817018,192631,523951850.2,22333.1,401.51,Completed,Q2 2024
