date,year,month,quarter,market,channel,category,product,units_sold,revenue_usd,cogs_usd,gross_profit,gross_margin,segment,is_repeat_client,nps_score
2022-08-17,2022,8,Q3,China,Wholesale,Watches,Tank Must,3,49099.97,18128.59,30971.38,63.1,VIP (>$50K),True,6
2022-03-03,2022,3,Q1,Japan,E-Commerce,Watches,Rotonde,3,174120.82,60069.67,114051.15,65.5,Entry (<$1K),False,10
2023-07-24,2023,7,Q3,China,E-Commerce,Accessories,Cartier Wallet,2,2310.55,762.01,1639.98,71.0,Entry (<$1K),False,8
2023-06-26,2023,6,Q2,China,Travel Retail,Fragrances,La Panthère,3,1386.27,487.27,957.47,69.1,Aspirational ($1K-$10K),True,6
2022-04-04,2022,4,Q2,Australia,Wholesale,High Jewellery,Panthère Bracelet,1,706734.14,229929.61,476804.53,67.5,Aspirational ($1K-$10K),False,8
2023-03-06,2023,3,Q1,Singapore,Boutique,Fragrances,Baiser Volé,2,691.87,219.98,471.89,68.2,Premium ($10K-$50K),True,6
2023-04-15,2023,4,Q2,China,Wholesale,Accessories,Cartier Wallet,3,2117.85,778.6,1339.25,63.2,Aspirational ($1K-$10K),False,9
2024-03-21,2024,3,Q1,India,E-Commerce,Fine Jewellery,Clash de Cartier,2,21435.14,7603.07,13832.07,64.5,Entry (<$1K),True,9
2024-01-12,2024,1,Q1,Australia,E-Commerce,Fragrances,Carat,1,180.1,39.39,126.92,70.5,Premium ($10K-$50K),True,9
2022-05-11,2022,5,Q2,Thailand,Travel Retail,Fragrances,Carat,1,317.94,110.65,207.29,65.2,VIP (>$50K),True,10
2023-07-01,2023,7,Q3,Hong Kong,Boutique,Fine Jewellery,Trinity Ring,3,23055.65,9630.59,14580.73,63.2,Aspirational ($1K-$10K),True,7
2024-11-05,2024,11,Q4,Japan,Wholesale,Fragrances,Baiser Volé,3,602.8,226.26,376.54,62.5,VIP (>$50K),True,9
2022-02-09,2022,2,Q1,Japan,Wholesale,Fine Jewellery,Clash de Cartier,1,5943.05,1270.34,4228.09,71.1,Entry (<$1K),True,10
2022-09-15,2022,9,Q3,South Korea,Travel Retail,Fragrances,Baiser Volé,2,525.67,197.88,327.79,62.4,Premium ($10K-$50K),True,9
2024-02-04,2024,2,Q1,India,Private Client,Accessories,C de Cartier Bag,1,1202.94,301.92,795.34,66.1,Premium ($10K-$50K),True,6
2022-05-26,2022,5,Q2,China,E-Commerce,High Jewellery,Trinity Collection,1,760263.94,230968.54,529295.4,69.6,Entry (<$1K),False,7
2024-08-26,2024,8,Q3,Australia,Travel Retail,Accessories,Panthere Sunglasses,2,1316.76,424.47,892.29,67.8,Entry (<$1K),True,6
2022-07-21,2022,7,Q3,China,Travel Retail,Fine Jewellery,Cartier d'Amour,2,22652.96,7568.62,15992.57,70.6,Premium ($10K-$50K),False,7
2022-06-04,2022,6,Q2,India,Private Client,High Jewellery,Trinity Collection,1,445689.54,142557.74,320238.72,71.9,VIP (>$50K),True,7
2022-12-07,2022,12,Q4,Thailand,Travel Retail,Accessories,Panthere Sunglasses,1,3969.13,985.76,2707.35,68.2,Entry (<$1K),False,9
2023-08-08,2023,8,Q3,Thailand,Private Client,Accessories,Panthere Sunglasses,1,813.22,274.8,538.42,66.2,VIP (>$50K),True,6
2022-04-13,2022,4,Q2,India,Private Client,Fragrances,Baiser Volé,1,123.85,35.53,88.32,71.3,VIP (>$50K),True,7
2024-04-06,2024,4,Q2,Japan,Private Client,Watches,Rotonde,2,116335.34,40221.47,76113.87,65.4,Aspirational ($1K-$10K),True,7
2023-10-06,2023,10,Q4,Australia,Wholesale,Accessories,Panthere Sunglasses,2,4601.03,1715.73,2885.3,62.7,VIP (>$50K),False,10
2022-07-24,2022,7,Q3,Japan,Private Client,Watches,Rotonde,1,27121.03,11339.27,17142.47,63.2,Aspirational ($1K-$10K),False,9
2023-09-12,2023,9,Q3,China,Private Client,Fine Jewellery,Cartier d'Amour,1,44401.79,16382.98,28018.8,63.1,Premium ($10K-$50K),False,10
2023-03-08,2023,3,Q1,Hong Kong,E-Commerce,Fine Jewellery,Trinity Ring,1,16340.82,4726.25,11614.57,71.1,Entry (<$1K),True,6
2022-01-08,2022,1,Q1,Hong Kong,E-Commerce,Fine Jewellery,Clash de Cartier,2,112270.99,27950.54,74537.76,66.4,VIP (>$50K),False,7
2022-03-15,2022,3,Q1,Hong Kong,Private Client,Fragrances,Baiser Volé,2,596.62,220.69,375.93,63.0,VIP (>$50K),True,7
2023-05-27,2023,5,Q2,Japan,Wholesale,Fragrances,Carat,1,538.66,197.4,341.26,63.4,Premium ($10K-$50K),True,6
2023-01-03,2023,1,Q1,Hong Kong,Travel Retail,Watches,Ballon Bleu,2,59792.29,16264.24,37835.56,63.3,Entry (<$1K),False,9
2023-12-18,2023,12,Q4,Singapore,E-Commerce,Watches,Santos de Cartier,2,169854.35,48625.49,107613.72,63.4,Aspirational ($1K-$10K),False,10
